,route_id,m/s,km/h,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,transit_type
67,6614,4.255234083300607,15.318842699882186,TL,004,Powell/Downtown/UBC,,3,,,,Bus
96,6647,4.22223247686527,15.200036916714971,TL,112,Edmonds Station/New West Station,,3,,,,Bus
62,45596,4.211540083486773,15.161544300552384,TL,080,Marine Dr Station/River District,,3,,,,Bus
84,6631,4.206217761573785,15.142383941665626,TL,029,Elliott/29th Avenue Station,,3,,,,Bus
8,16718,4.201954131147605,15.12703487213138,TL,014,Hastings/UBC,,3,,,,Bus
72,6619,4.16415605776664,14.990961807959904,TL,009,Boundary/Commercial-Broadway/Granville/Alma/UBC,,3,,,,Bus
70,6617,4.145613822519722,14.924209761070998,TL,007,Nanaimo Station/Dunbar,,3,,,,Bus
193,6817,4.097421004033773,14.750715614521583,TL,147,Metrotown Station/Edmonds Station,,3,,,,Bus
48,34540,4.080276046612189,14.68899376780388,TL,719,Meadowtown/Fraser Way,,3,,,,Bus
76,6623,4.0583446307701125,14.610040670772406,TL,017,Downtown/Oak,,3,,,,Bus
182,6776,4.052151698011506,14.58774611284142,TL,131,Hastings @ Gilmore/Kootenay Loop,,3,,,,Bus
78,6625,4.02237649521438,14.480555382771769,TL,020,Victoria/Downtown,,3,,,,Bus
79,6626,3.9955594561575323,14.384014042167117,TL,022,Knight/Downtown,,3,,,,Bus
75,6622,3.9395790894101212,14.182484721876436,TL,016,29th Avenue Station/Arbutus,,3,,,,Bus
186,6796,3.8983331640258703,14.033999390493133,TL,105,Uptown/New Westminster Station,,3,,,,Bus
194,6818,3.876904555246247,13.956856398886488,TL,371,Surrey Central/Scott Rd Station,,3,,,,Bus
181,6762,3.8476244039285876,13.851447854142915,TL,881,Carson Graham School Specials,,3,,,,Bus
6,13684,3.7942376283003796,13.659255461881367,TL,414,Richmond Oval/Brighouse Station,,3,,,,Bus
66,6613,3.774614900991289,13.58861364356864,TL,003,Main/Waterfront Station,,3,,,,Bus
71,6618,3.7679448997971026,13.56460163926957,TL,008,Fraser/Waterfront Station,,3,,,,Bus
82,6629,3.6720460274571005,13.219365698845563,TL,027,Kootenay Loop/Joyce Station,,3,,,,Bus
60,39307,3.6689766509874757,13.208315943554913,TL,245,Phibbs/Capilano,,3,,,,Bus
77,6624,3.6335943734111757,13.080939744280233,TL,019,Metrotown Station/Stanley Park,,3,,,,Bus
180,6761,3.631821834911932,13.074558605682956,TL,880,Windsor School Specials,,3,,,,Bus
94,6645,3.6090104324860133,12.992437556949648,TL,106,New Westminster Station/Edmonds Station,,3,,,,Bus
43,32799,3.555561923050969,12.800022922983489,TL,119,Edmonds Station/Metrotown Station,,3,,,,Bus
63,46099,3.5339641211385766,12.722270836098875,TL,102,New Westminster Station/Victoria  Hill,,3,,,,Bus
121,6677,3.4309381574491473,12.35137736681693,TL,229,Lynn Valley/Lonsdale Quay,,3,,,,Bus
122,6678,3.309087532781176,11.912715118012233,TL,230,Upper Lonsdale/Lonsdale Quay,,3,,,,Bus
88,6637,3.242699223988648,11.673717206359134,TL,050,Waterfront Station/False Creek South,,3,,,,Bus
35,30055,3.111096257978528,11.199946528722702,TL,023,Main St Station/English Bay,,3,,,,Bus
11,18213,2.754075588165405,9.914672117395458,TL,231,Harbourside/Lonsdale Quay,,3,,,,Bus
185,6790,2.7158949738061082,9.77722190570199,TL,103,New Westminster Station/Quayside,,3,,,,Bus
68,6615,2.307081345430165,8.305492843548594,TL,005,Robson/Downtown,,3,,,,Bus
69,6616,2.1920067177705285,7.891224183973903,TL,006,Davie/Downtown,,3,,,,Bus
